   3  Gigabyte Amd Apu 1.4 GA E2 2500N DDR3 4 Gb 1600 Mhz  14708.099609  1
   4  FM2 Msi A68HM E33 Amd Apu A8 7680 3.5 Ghz FM2 DDR3 4 Gb 1600 Mhz  16347.099609  1
   6  AM4 Msi A320M PRO M2 V2 Amd Apu A10 9700 3.8 Ghz AM4 DDR4 4 Gb 2400 Mhz  19758.199219  1
   7  AM4 Msi A320M PRO M2 V2 Amd Ryzen 3 2200G 3.7 Ghz Vega8 AM4 DDR4 4 Gb 2400 Mhz  19956.199219  1
   8  1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz  23249.599609  1
  12  1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz  24502.500000  1
  13  1151 8va Gigabyte GA H310M H Intel Core i7 9700F 4.7 Ghz Coffee Lake 1151 Sin Video DDR4 8 Gb 2400 Mhz  49599.000000  1
  14  AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 3400G 4.2 Ghz Vega11 AM4 DDR4 16 Gb 2666 Mhz  75238.898438  1
  15  AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 2600 3.9 Ghz AM4 DDR4 16 Gb 2666 Mhz  74446.898438  1
  16  1151 9na Msi Z390 ACE Intel Core i9 9900K 5.0 Ghz Coffee Lake 1151 Sin Cooler DDR4 32 Gb 2x16 2666 Mhz  185143.203125  1
  11  Lenovo V130-15IGM Pentium 4Gb 500Gb 15.6  29362.800781  2
   1  Exo Smart E16 Plus x5-8350 Atom 4Gb 32Gb 14 Win10  18886.800781  2
   2  Bangho Zero M4 i1 F Celeron 3Gb Ssd 240Gb 14  21034.800781  2
   5  Exo Smart E24S Celeron 4Gb 500Gb 14  21214.800781  2
   9  Asus X540M Celeron 4Gb 500Gb 15.6 Win10  26506.800781  2
  10  Lenovo IdeaPad S145-14IGM Celeron 4Gb 500Gb 14 Win10  27274.800781  2
  17  Hp 250 G7 Core i3 4Gb 1Tb 15.6  37402.800781  2
  18  Hp 250 G7 Core i3 12Gb Ssd 240Gb 15.6  41590.800781  2
  19  Lenovo V330-15IKB Core i5 8Gb Ssd M.2 240Gb 14  48574.800781  2
  20  Dell Latitude Core i5 8Gb 1Tb 15.6 Win10 Pro  69466.796875  2
